id,content,date_added,question_id,is_correct,key
02a0c47d-fb3c-4632-b384-30551f1c8681,11,2023-11-02 08:35:40.765,56329840-352c-4765-81f6-6b5aaef31de0,t,A
05a13e9f-c42e-4a9d-8fad-a0b8f9b3eeeb,20,2023-11-02 08:35:40.765,56329840-352c-4765-81f6-6b5aaef31de0,f,B
6e44e1af-fa32-4feb-bf08-11c95cb30c70,25,2023-11-02 08:35:40.765,56329840-352c-4765-81f6-6b5aaef31de0,f,C
edb337fd-05cc-4d3d-b25f-db4fb5f493e4,27,2023-11-02 08:35:40.765,56329840-352c-4765-81f6-6b5aaef31de0,f,D
7d5da933-e8f0-4cde-86ec-b08f2d58d088,31,2023-11-02 08:35:40.765,56329840-352c-4765-81f6-6b5aaef31de0,f,E
cd976b4d-6ac2-4cd2-b035-59f7af48d7da,\( 3+x \),2023-10-29 14:56:45.503,12e3205f-03eb-4314-8a52-40a8eec3e7be,f,A
6f9e4c4a-607e-4f97-b3c0-4ce59dea2b51,\( 3-x \),2023-10-29 14:56:45.503,12e3205f-03eb-4314-8a52-40a8eec3e7be,f,B
b06897c0-e20e-4cd1-acb8-c19eb2d134e8,\( x-3 \),2023-10-29 14:56:45.503,12e3205f-03eb-4314-8a52-40a8eec3e7be,t,C
b0b00f5d-8c39-49c2-99aa-0869187ad113,\( x-9 \),2023-10-29 14:56:45.503,12e3205f-03eb-4314-8a52-40a8eec3e7be,f,D
556b8480-8388-4526-aab7-87db0b8d3e96,\( 9-x \),2023-10-29 14:56:45.503,12e3205f-03eb-4314-8a52-40a8eec3e7be,f,E
f2aac0f8-09d3-4e23-8eb0-66abb6750b96,\( 2 y-2 x \),2023-10-29 15:06:24.355,df83ebf6-c4c8-404c-9f0c-309b06a3fece,f,A
2b31b203-a929-4c6a-a430-921e9db73bc7,\( 2 x-2 y \),2023-10-29 15:06:24.355,df83ebf6-c4c8-404c-9f0c-309b06a3fece,t,B
2b309225-5610-4ed1-96c3-6abd8c103e5b,\( 2 x+2 y \),2023-10-29 15:06:24.355,df83ebf6-c4c8-404c-9f0c-309b06a3fece,f,C
83d7620e-a34f-41e4-8de7-8a920dde1b3c,\( y-x \),2023-10-29 15:06:24.355,df83ebf6-c4c8-404c-9f0c-309b06a3fece,f,D
f0b4d838-cb36-4c8c-92e1-66b5d5eebfac,\( x-y \),2023-10-29 15:06:24.355,df83ebf6-c4c8-404c-9f0c-309b06a3fece,f,E
564c0ec9-fc89-4e99-8fa7-2a5307a126bc,-6,2023-10-29 15:22:58.808,6ade509d-ff48-4f56-bf5f-bf6050a596a9,f,A
d13d8c25-f7ca-4414-b97c-3f3f39ef049c,-3,2023-10-29 15:22:58.808,6ade509d-ff48-4f56-bf5f-bf6050a596a9,f,B
15e5e65e-1983-4fe0-90b7-7ebb4b21df89,0,2023-10-29 15:22:58.808,6ade509d-ff48-4f56-bf5f-bf6050a596a9,f,C
6b4fe45f-00eb-494a-952a-5a781aa04c4c,3,2023-10-29 15:22:58.808,6ade509d-ff48-4f56-bf5f-bf6050a596a9,t,D
d732ed65-2864-42ee-863f-d3ada2a5da9a,6,2023-10-29 15:22:58.808,6ade509d-ff48-4f56-bf5f-bf6050a596a9,f,E
ba37aa1a-712c-41a4-86d9-f5abc8f8f860,\( -5 \frac{1}{3} \),2023-10-29 15:31:47.062,c8e6a567-fd7a-476e-972e-b19cbd9c32a1,f,A
fd9f0201-dc22-4f2a-b727-2812b7681e41,-2,2023-10-29 15:31:47.062,c8e6a567-fd7a-476e-972e-b19cbd9c32a1,t,B
9abd6af8-d660-41e4-a604-70ee8819a915,2,2023-10-29 15:31:47.062,c8e6a567-fd7a-476e-972e-b19cbd9c32a1,f,C
