id,content,date_added,topic_id,img_url,assets_url,url,answer,answer_asset,type,code,soalSourceId,notes,admin_id,raw_answer
dd349ea7-2ff5-4ea4-87fe-44ae84895491,"Berdasarkan data dalam grafik tersebut, manakah pernyataan berikut yang PALING TEPAT untuk memperkirakan jumlah peserta tes yang lulus pada tahun 2021 ? ",2023-11-17 17:36:35.715,522ae678-2a1c-4850-9d37-9b41302f38b0,https://bangsoal.s3.ap-southeast-1.amazonaws.com/assets/a31a32.png,https://bangsoal.s3.ap-southeast-1.amazonaws.com/assets/a31a32.png,,Dari data tersebut dapat disimpulkan bahwa jumlah peserta tes yang lulus pada tahun 2021 didominasi oleh lulusan tes praktik daripada lulusan tes teori.,"",SINGLEANSWER,A/PU/32,068f6601-e123-4334-b93d-7d9279f810a9,"",6493f79e-4588-4d91-9136-97bce16d4a0b,"Dari data tersebut dapat diketahui:
- Tren jumlah peserta tes fisik cenderung menurun, sehingga kemungkinan tahun 2021 pun menurun.
- Tren jumlah peserta tes teori cenderung tetap dari tahun ke tahun, maka kemungkinan tahun 2021 juga tetap.
- Tren jumlah peserta tes praktik cenderung naik setiap tahunnya, sehingga kemungkinan tahun 2021 juga akan naik.

Maka dapat diperkirakan bahwa jumlah peserta tes yang lulus pada tahun 2021 adalah jumlah lulusan tes praktik lebih banyak daripada teori.

Jawaban D "
df83ebf6-c4c8-404c-9f0c-309b06a3fece,Hasil pengurangan \( \frac{2 x-2 y}{4} \) oleh \( \frac{3 y-3 x}{2} \) adalah ... ,2023-10-29 15:06:24.355,359a3e26-95fa-4b4f-b203-40fe89deac3b,"","",,\( \begin{aligned} \frac{2 x-2 y}{4}-\frac{3 y-3 x}{2} & =\frac{x-y-(3 y-3 x)}{2} \\ & =\frac{4 x-4 y}{2} \\ & =2 x-2 y\end{aligned} \) ,"",SINGLEANSWER,B/PKPM/2,34161b6d-a632-4854-a1c1-fbaa1252e4cc,"",02912775-4286-4031-8ff8-1f0e2b4f60e7,\( \begin{aligned} \frac{2 x-2 y}{4}-\frac{3 y-3 x}{2} & =\frac{x-y-(3 y-3 x)}{2} \\ & =\frac{4 x-4 y}{2} \\ & =2 x-2 y\end{aligned} \) 
d6777b40-d1f1-4df3-98dc-c007f4f3ed3c,"Jika \( S \) memenuhi \( 2+4 \times S=14 \), nilai \( S \) adalah ",2023-10-29 15:15:40.906,359a3e26-95fa-4b4f-b203-40fe89deac3b,"","",,\( \begin{aligned} 2+4 \times S & =14 \\ 4 S & =12 \\ S & =3\end{aligned} \) ,"",SINGLEANSWER,B/PKPM/2,4c6bddb0-b57c-49b4-af8b-d2fb1ec6c268,"",02912775-4286-4031-8ff8-1f0e2b4f60e7,\( \begin{aligned} 2+4 \times S & =14 \\ 4 S & =12 \\ S & =3\end{aligned} \) 
6ade509d-ff48-4f56-bf5f-bf6050a596a9,\( \begin{aligned} 2+4 \times S & =14 \\ 4 S & =12 \\ S & =3\end{aligned} \) ,2023-10-29 15:22:58.808,359a3e26-95fa-4b4f-b203-40fe89deac3b,"","",,\( \begin{array}{r}9-18: 3=K \\ 9-6=K \\ K=3\end{array} \) ,"",SINGLEANSWER,B/PKPM/2,4c6bddb0-b57c-49b4-af8b-d2fb1ec6c268,"",02912775-4286-4031-8ff8-1f0e2b4f60e7,\( \begin{array}{r}9-18: 3=K \\ 9-6=K \\ K=3\end{array} \) 
c8e6a567-fd7a-476e-972e-b19cbd9c32a1,Jika \( A \) memenuhi \( 10-6 \times A=22 \). Nilai \( A \) adalah ... ,2023-10-29 15:31:47.062,359a3e26-95fa-4b4f-b203-40fe89deac3b,"","",,\( \begin{aligned} 10-6 \times A & =22 \\ 10-22 & =6 A \\ -12 & =6 A \\ A & =-2\end{aligned} \) ,"",SINGLEANSWER,B/PKPM/2,4c6bddb0-b57c-49b4-af8b-d2fb1ec6c268,"",02912775-4286-4031-8ff8-1f0e2b4f60e7,\( \begin{aligned} 10-6 \times A & =22 \\ 10-22 & =6 A \\ -12 & =6 A \\ A & =-2\end{aligned} \) 
bb963364-310d-4aab-9e0a-43d807d46249,"Jika \( D \) memenuhi \( -40+6 \times D=8 \), maka nilai \( D \) adalah ... ",2023-10-29 15:35:40.967,359a3e26-95fa-4b4f-b203-40fe89deac3b,"","",,\( \begin{aligned}-40+6 \times D & =8 \\ 6 D & =40+8 \\ 6 D & =48 \\ D & =8\end{aligned} \) ,"",SINGLEANSWER,B/PKPM/2,4c6bddb0-b57c-49b4-af8b-d2fb1ec6c268,"",02912775-4286-4031-8ff8-1f0e2b4f60e7,\( \begin{aligned}-40+6 \times D & =8 \\ 6 D & =40+8 \\ 6 D & =48 \\ D & =8\end{aligned} \) 
e20b7074-49d8-43d7-bce0-f56dd09eb59a,"Rasio antara jumlah uang yang dimiliki oleh Agung, Budi, dan Citra adalah 2:3:5. Jika selisih antara jumlah uang Agung dan Budi adalah \( x \) rupiah, maka total jumlah uang Budi dan Citra adalah ... rupiah ",2023-10-30 10:08:01.728,df46669a-8799-40d1-863e-70a441137144,"","",,"Diketahui :
Perbandingan uang Agung, Budi, dan Citra
\[
\text { 2: } 3: 5
\]

Misalkan :
uang Agung : \( 2 A \)
uang Budi : \( 3 A \)
uang Citra : \( 5 A \)
selisih Agung dgn Budi adalah \( 3 A-2 A=A=x \) total jumlah uang Budi dan Citra adalah \( 3 A+ \) \( 5 A=8 A=8 x \) ","",SINGLEANSWER,A/PKPM/1,34161b6d-a632-4854-a1c1-fbaa1252e4cc,"",bef39169-f776-4cf1-b2da-18afe3910cd6,"Diketahui :
Perbandingan uang Agung, Budi, dan Citra
\[
\text { 2: } 3: 5
\]

Misalkan :
uang Agung : \( 2 A \)
uang Budi : \( 3 A \)
uang Citra : \( 5 A \)
selisih Agung dgn Budi adalah \( 3 A-2 A=A=x \) total jumlah uang Budi dan Citra adalah \( 3 A+ \) \( 5 A=8 A=8 x \) "
92af3c64-a567-4413-8324-a59266bf4736,"Pembelian satu celana memperoleh diskon \( 30 \% \), sedangkan satu baju memperoleh diskon \( 10 \% \). Jika harga awal satu celana dan satu baju tersebut sama, yaitu \( p \) rupiah, maka jumlah uang yang harus dibayarkan untuk membeli satu celana dan satu baju adalah ... rupiah. ",2023-10-30 10:17:25.221,df46669a-8799-40d1-863e-70a441137144,"","",,"Harga untuk membeli satu celana dan satu baju yang harus dibayarkan adalah
\[
\begin{aligned}
\text { Harga } & =(100 \%-30 \%) p+(100 \%-10 \%) p \\
& =70 \% p+90 \% p=160 \% p \\
& =\frac{160}{100} p=\frac{8}{5} p
\end{aligned}
\] ","",SINGLEANSWER,B/PKPM/2,34161b6d-a632-4854-a1c1-fbaa1252e4cc,"",bef39169-f776-4cf1-b2da-18afe3910cd6,"Harga untuk membeli satu celana dan satu baju yang harus dibayarkan adalah
\[
\begin{aligned}
\text { Harga } & =(100 \%-30 \%) p+(100 \%-10 \%) p \\
& =70 \% p+90 \% p=160 \% p \\
& =\frac{160}{100} p=\frac{8}{5} p
\end{aligned}
\] "
12e3205f-03eb-4314-8a52-40a8eec3e7be,"Jika \( x \neq 1 \) dan \( x \neq-3 \), maka hasil kali \( \frac{9-x^{2}}{2-2 x} \) dan \( \frac{2 x-2}{x+3} \) senilai dengan \( \ldots \)",2023-10-29 14:56:45.503,359a3e26-95fa-4b4f-b203-40fe89deac3b,"","",,"\( \begin{array}{l}=\frac{9-x^{2}}{2-2 x} \times \frac{2 x-2}{x+3} \\ =\frac{(3-x)(3+x)}{1} \times \frac{-1}{x+3} \\ =x-3\end{array} \) 

\begin{align*}
& \text{Diberikan persamaan awal: } \frac{9 - x^2}{2 - 2x} \times \frac{2x - 2}{x + 3} \\
& \text{Langkah 1: Faktorisasi numerik dan denominasi persamaan pertama} \\
& \quad = \frac{(3 - x)(3 + x)}{2(1 - x)} \times \frac{2(1 - x)}{x + 3} \quad \text{(Menggunakan rumus beda kuadrat untuk } 9 - x^2 \text{ dan mengeluarkan faktor bersama)} \\
& \text{Langkah 2: Sederhanakan persamaan dengan membatalkan faktor bersama} \\
& \quad = \frac{(3 - x)(3 + x)}{1} \times \frac{-1}{x + 3} \quad \text{(Membatalkan } 1 - x \text{ dari penyebut dan pembilang)} \\
& \text{Langkah 3: Sederhanakan hasil perkalian} \\
& \quad = (3 - x) \times -1 \quad \text{(Membatalkan } 3 + x \text{ dari penyebut dan pembilang)} \\
& \text{Langkah 4: Hitung hasil akhir} \\
& \quad = x - 3 \quad \text{(Mengalikan } (3 - x) \text{ dengan } -1 \text{)} \\
& \text{Jadi, nilai dari ekspresi tersebut adalah } x - 3.
\end{align*}","",SINGLEANSWER,B/PKPM/2,34161b6d-a632-4854-a1c1-fbaa1252e4cc,"",02912775-4286-4031-8ff8-1f0e2b4f60e7,\( \begin{array}{l}=\frac{9-x^{2}}{2-2 x} \times \frac{2 x-2}{x+3} \\ =\frac{(3-x)(3+x)}{1} \times \frac{-1}{x+3} \\ =x-3\end{array} \) 
88ee3586-8788-401f-9826-3c9047dd60ae,"Hewan golongan unggas berkembang biak dengan cara bertelur.

Buaya hewan bukan unggas yang berkembang biak dengan cara bertelur.

Simpulan yang tepat tentang buaya adalah ... ",2023-11-18 05:02:48.067,385c8a09-45db-4c1f-9d77-a925518f5a79,"","",,"Buaya dan unggas memiliki cara berkembang biak yang serupa, yaitu dengan cara bertelur.",https://bangsoal.s3.ap-southeast-1.amazonaws.com/assets/Pembahasan%2816%29.png,SINGLEANSWER,E/PU/16,82634126-5b7f-442c-814c-f8a3274f5a7e,"",b07f7ea1-7081-4c1a-b943-56f704a784a1,Buaya memiliki cara berkembang biak yang sama dengan unggas yaitu dengan cara bertelur. 
